site_id,location,model_type,mape,rmse,r2,mae
2000,,lstm,33.084953485286064,48.1201013356259,0.8127287428393348,33.61168691123404
2000,,gru,39.29019411131893,48.34624365721221,0.8109644294512892,34.1440640920546
2000,,saes,38.78894152174504,48.21725368081595,0.8119717948033491,33.865448027994574
2200,,lstm,41.458753086751635,25.541793931766737,0.8371991145374689,17.701630341699307
2200,,gru,51.26119960982479,25.665025776250516,0.8356243895382914,18.070428044004824
2200,,saes,54.34128818911635,25.61047622588112,0.8363223889640525,18.10371711489331
2820,,lstm,59.0337961108159,53.59138659169066,0.6702847184937715,38.75810242052633
2820,,gru,68.1481441496609,53.650976498963324,0.669551069758646,39.20568632508629
2820,,saes,71.12524967251986,54.26566565336629,0.6619356637454943,39.91304026552589
2825,,lstm,48.017006557726134,53.690858786041545,0.7389694080571931,39.50838012481004
2825,,gru,53.085179172010925,50.39377986598046,0.7700440897420118,38.21044571051437
2825,,saes,50.9418907830916,61.79743750462166,0.6541947033008172,42.87515936433599
2827,,lstm,59.38248101100942,55.990707522467616,0.6743242050944004,38.69942823733984
2827,,gru,68.27818547133639,55.91253045763965,0.6752330203004184,38.99081041727366
2827,,saes,68.24173897142225,56.22945862427385,0.67154084201104,39.43287321403957
3002,,lstm,28.526683021298993,34.069927457128834,0.8364036404037141,22.795169548714224
3002,,gru,33.91674509075989,34.24049154197567,0.8347615171341578,23.268754981577715
3002,,saes,33.40535225102944,34.27597288640604,0.8344188864688353,23.197443717941244
3120,,lstm,66.42475934467241,37.41989399923274,0.7168158587961887,29.676566050993486
3120,,gru,69.53559125879418,37.459226877563076,0.7162202236880033,29.813838765225604
3120,,saes,64.75261934898188,37.31668114964856,0.718375881013013,29.56876520137616
3127,,lstm,72.92122246136292,63.51821977356275,0.6197879216637534,44.79521472763388
3127,,gru,84.84400427998642,63.517619302454534,0.6197951103189047,45.28970568168392
3127,,saes,86.72086935870266,64.46872026856367,0.6083236286597107,45.36773828199491
3180,,lstm,52.600615446811666,34.7108456740325,0.7163414010640414,20.230815351076217
3180,,gru,65.25735850731364,34.85665309995992,0.7139533060814209,20.703670551799167
3180,,saes,69.57452517559139,35.168750337035846,0.7088080012711434,20.86012153803745
3662,,lstm,49.9244643310562,50.69742490956256,0.6618671577757986,34.37669558402134
3662,,gru,57.49810958066979,50.79027487966644,0.6606274745311842,34.65873554536046
3662,,saes,58.63302048646123,51.13760785083474,0.6559699562500133,35.02818885966801
3682,,lstm,47.537512837708626,36.01487409835341,0.7955957855570281,26.348404292220337
3682,,gru,56.698662488094925,36.07806211009148,0.794877902922165,26.648725037806187
3682,,saes,59.93925556767612,36.11007990480902,0.7945136665397049,26.830732116733504
4032,,lstm,63.99354922167248,50.56751584743795,0.6467974411603757,37.762185758405735
4032,,gru,74.5620708406196,50.518032071710905,0.6474883686977517,38.08519921495241
4032,,saes,77.58036803841088,51.061040030227566,0.6398694903542073,38.53474315640103
4043,,lstm,26.264750269089784,36.00903056571055,0.8346401721433423,23.84107998534703
4043,,gru,31.600174504235714,36.26035069791458,0.8323239043497594,24.411323327120108
4043,,saes,31.599299980227595,36.146259714237395,0.8333774095759595,24.327163021126136
4051,,lstm,154.80747666659593,37.81186480826163,0.4308162612578068,26.5087871897332
4051,,gru,169.15844611787236,37.75776694852441,0.4324437713136805,26.63742236502817
4051,,saes,169.0318785561509,38.371549231973965,0.4138416458786218,26.891769691895103
4057,,lstm,47.886923697131905,26.736931756121095,0.8321765806499626,17.78894550431593
4057,,gru,59.60194953294247,26.856109955217423,0.8306771214426774,18.142025178872903
4057,,saes,65.4152650586888,26.766560186021316,0.8318044287887433,18.3077919485222
4262,,lstm,32.83637261855384,41.307564942874336,0.7429781380104967,30.978946382814055
4262,,gru,35.11134392660524,40.26742831284045,0.7557589461199107,31.18067973165026
4262,,saes,33.56191234313425,41.57380325315243,0.7396543115802734,31.419727040359867
4263,,lstm,28.122765911704594,31.570323476254504,0.8320675159771146,21.928095398899067
4263,,gru,32.28957437350825,31.67343553786544,0.8309687535658016,22.21298834474329
4263,,saes,31.80763717307346,31.708574965833744,0.8305934891826486,22.328587839947666
4266,,lstm,35.05664194242878,32.212283789643664,0.8397683938762837,22.25650447593676
4266,,gru,42.44035958381749,32.42171712883004,0.837678077562227,22.749450861071256
4266,,saes,42.61085915626565,32.29892815078881,0.8389052550404428,22.745505796419664
4270,,lstm,29.69367730522524,27.972503473378232,0.7963716271866879,19.826125385248073
4270,,gru,34.5833206285625,28.099812779271534,0.794513890042066,20.157370688268422
4270,,saes,33.51446800003425,28.131129366678124,0.794055615841328,20.138264636955988
4321,,lstm,48.54367520935252,30.6220765793837,0.7049311419108584,19.651851880710755
4321,,gru,59.144749759201915,30.73394344128432,0.7027713458966504,19.986078627173676
4321,,saes,62.978836308093506,30.881784813311278,0.6999049137236999,20.414638919413356
4324,,lstm,43.29850810066402,31.320886074816855,0.6998120047235783,19.886185678856396
4324,,gru,52.72430166501113,31.406572683769692,0.6981672698900241,20.375793664344002
4324,,saes,55.168780782294846,31.922122612945394,0.6881765562046731,20.686508017744973
4335,,lstm,45.32978085541318,36.16188002171209,0.8115409395644971,24.628932648101106
4335,,gru,54.65850041635551,36.62533377250274,0.8066793698658878,25.152425536135365
4335,,saes,55.436266047904134,37.32320209300263,0.7992420221995838,24.916108150407254
