model_type,avg_mape,min_mape,max_mape,avg_rmse,min_rmse,max_rmse,avg_r2,min_r2,max_r2
gru,74.01410912691284,33.00629295763272,176.54276141758686,38.50716024544999,22.211749332841812,64.3190901013788,0.7484977141240112,0.45630181009800863,0.9256850133363996
lstm,63.54705597648194,30.15426363080319,182.70722226637778,38.78966633955154,24.754199560307917,66.49199286316791,0.7427758767743068,0.4111905590552676,0.9311867142254258
saes,86.95218504486256,34.89331801396581,192.91740554567357,41.7208860573054,26.47457902508507,67.51737547262695,0.7127301683872668,0.4108364273654378,0.8660492311453338
