loss,mape,val_loss,val_mape
0.07783044129610062,1773504.375,0.05307656154036522,828912.5625
0.04849136248230934,1288843.875,0.026207590475678444,1010590.1875
0.03399921581149101,961400.375,0.023721907287836075,1184189.875
0.026442749425768852,754868.25,0.011273187585175037,706629.8125
0.021672522649168968,556385.5625,0.023437850177288055,214736.53125
0.019581031054258347,468787.71875,0.014472967013716698,178538.78125
0.016601407900452614,346844.375,0.011783743277192116,140563.671875
0.015291111543774605,272974.25,0.013385382480919361,102224.7265625
0.01434487197548151,238111.75,0.015302343294024467,87690.6328125
0.013817294500768185,234435.21875,0.015297561883926392,93070.8203125
0.013275091536343098,232704.21875,0.013493211939930916,96013.2265625
0.012873769737780094,233003.453125,0.0138687863945961,96065.6015625
0.012710660696029663,231271.65625,0.0110632898285985,113410.8046875
0.01241855975240469,235748.84375,0.011623579077422619,112645.5390625
0.012100378051400185,232698.390625,0.011769330129027367,111401.6640625
0.01204314362257719,234476.640625,0.010525539517402649,120970.3046875
0.011707053519785404,233883.40625,0.010669666342437267,118215.328125
0.011512156575918198,229543.03125,0.010948828421533108,113241.875
0.01138371229171753,223942.625,0.0100815799087286,121516.9296875
0.011240245774388313,217571.171875,0.010257812216877937,119379.3671875
0.011123312637209892,225426.78125,0.009137067012488842,129110.9921875
0.011014658026397228,216810.53125,0.00916768703609705,125242.7265625
0.010841285809874535,217428.78125,0.008935809135437012,131913.9375
0.010847173631191254,220526.03125,0.00907640065997839,121077.5546875
0.010705515742301941,205416.96875,0.00856798142194748,130802.90625
0.01053906511515379,208297.203125,0.00866002682596445,122859.171875
0.01052895374596119,206309.390625,0.008282535709440708,137329.53125
0.010465366765856743,208009.078125,0.008596701547503471,121124.7265625
0.010330276563763618,203152.828125,0.008587788790464401,119311.125
0.010321203619241714,199000.9375,0.008378899656236172,127591.359375
0.010277030058205128,203441.171875,0.008712297305464745,116567.6953125
0.010276762768626213,186037.828125,0.007659232709556818,148641.9375
0.010034809820353985,198490.09375,0.008585813455283642,113766.5390625
0.010038208216428757,195421.53125,0.008144019171595573,126821.1484375
0.0100906603038311,193829.109375,0.008219554089009762,124890.46875
0.009974458254873753,188954.828125,0.008272653445601463,118601.421875
0.009914238937199116,194365.640625,0.008054008707404137,122500.4140625
0.009892197325825691,195141.671875,0.008248209953308105,117054.6875
0.009886045940220356,188296.703125,0.007675467524677515,132316.078125
0.009827839210629463,187937.3125,0.008018512278795242,126601.5859375
0.009800990112125874,182251.21875,0.007749020121991634,130557.6953125
0.009720397181808949,187856.15625,0.008214239962399006,114819.4453125
